fid,id
"1","3647"
"2","3831"
"3","5022"
"4","5099"
"5","5121"
"6","5178"
"7","5203"
"8","5238"
"9","5295"
"10","5441"
"11","5803"
"12","6021"
"13","6090"
"14","6848"
"15","7322"
"16","7750"
"17","7801"
"18","8024"
"19","8025"
"20","8110"
"21","8490"
"22","8700"
"23","9357"
"24","9657"
"25","9668"
"26","9704"
"27","9783"
"28","10452"
"29","10962"
"30","11943"
"31","12048"
"32","12299"
"33","12318"
"34","12343"
"35","12627"
"36","12937"
"37","12940"
"38","13808"
"39","14287"
"40","14290"
"41","14314"
"42","14377"
"43","14991"
"44","15220"
"45","15341"
"46","15396"
"47","16338"
"48","16421"
"49","16458"
"50","16821"
"51","16974"
"52","17092"
"53","17693"
"54","17747"
"55","18127"
"56","18198"
"57","18728"
"58","18764"
"59","19159"
"60","19169"
"61","19282"
"62","19319"
"63","19601"
"64","19812"
"65","20299"
"66","20300"
"67","20724"
"68","20734"
"69","20755"
"70","20853"
"71","20913"
"72","21293"
"73","21456"
"74","21644"
"75","21794"
"76","22918"
"77","23501"
"78","23686"
"79","24143"
"80","24285"
"81","25406"
"82","25696"
"83","26362"
"84","26520"
"85","26559"
"86","26785"
"87","26954"
"88","26969"
"89","27006"
"90","27531"
"91","27644"
"92","27659"
"93","27759"
"94","27883"
"95","28321"
"96","28907"
"97","29013"
"98","29455"
"99","29628"
"100","29683"
"101","30927"
"102","31130"
"103","31555"
"104","31994"
"105","32037"
"106","32100"
"107","32289"
"108","32331"
"109","32969"
"110","33009"
"111","35526"
"112","36121"
"113","36133"
"114","36442"
"115","36647"
"116","36703"
"117","38638"
"118","38663"
"119","39267"
"120","39282"
"121","39593"
"122","40039"
"123","40453"
"124","41348"
"125","41513"
"126","42580"
"127","43957"
"128","44221"
"129","44288"
"130","44506"
"131","45393"
"132","45542"
"133","45556"
"134","45910"
"135","45936"
"136","45940"
"137","46544"
"138","46723"
"139","46911"
"140","47199"
"141","47362"
"142","47370"
"143","48719"
"144","50447"
"145","51572"
"146","53196"
"147","54158"
"148","54453"
"149","54466"
"150","54508"
"151","54544"
"152","54860"
"153","55467"
"154","55668"
"155","55737"
"156","55959"
"157","55982"
"158","56467"
"159","56525"
"160","56859"
"161","57297"
"162","57468"
"163","57618"
"164","57740"
"165","57754"
"166","57874"
"167","58059"
"168","58062"
"169","58467"
"170","59014"
"171","59121"
"172","59709"
"173","59855"
"174","60164"
"175","60457"
"176","60611"
"177","60666"
"178","60673"
"179","60794"
"180","61167"
"181","61224"
"182","61406"
"183","61492"
"184","61509"
"185","62095"
"186","62427"
"187","62430"
"188","62903"
"189","62925"
"190","63299"
"191","63360"
"192","63573"
"193","63657"
"194","63913"
"195","64000"
"196","64015"
"197","64107"
"198","64277"
"199","64707"
"200","65019"
"201","65268"
"202","65562"
"203","65615"
"204","65660"
"205","65813"
"206","65834"
"207","66008"
"208","66026"
"209","66275"
"210","66451"
"211","66718"
"212","66741"
"213","67288"
"214","67397"
"215","68099"
"216","68305"
"217","68735"
"218","68765"
"219","68900"
"220","68974"
"221","69894"
"222","69921"
"223","70095"
"224","70128"
"225","71010"
"226","71248"
"227","71366"
"228","71384"
"229","72190"
"230","72265"
"231","74073"
"232","74240"
"233","74404"
"234","74860"
"235","75193"
"236","75635"
"237","76761"
"238","77936"
"239","78919"
"240","79067"
"241","79782"
"242","80493"
"243","80924"
"244","82928"
"245","83243"
"246","83446"
"247","83722"
"248","84659"
"249","84905"
"250","85094"
"251","86215"
"252","89427"
"253","89621"
"254","93313"
"255","94035"
"256","94477"
"257","94783"
"258","95747"
"259","95883"
"260","96471"
"261","98663"
"262","99070"
"263","99085"
"264","100186"
"265","101053"
"266","102995"
"267","103161"
"268","103806"
"269","105469"
"270","105510"
"271","106647"
"272","107630"
"273","107895"
"274","110739"
"275","112100"
"276","112304"
"277","112359"
"278","113945"
"279","114123"
"280","114229"
"281","114969"
"282","115535"
"283","115748"
"284","116940"
"285","117425"
"286","118430"
"287","118680"
"288","120362"
"289","121687"
"290","121861"
"291","123784"
"292","125053"
"293","126443"
"294","126816"
"295","127387"
"296","128975"
"297","131154"
"298","132695"
"299","133025"
"300","134934"
"301","135393"
"302","135465"
"303","135706"
"304","136493"
"305","140133"
"306","140425"
"307","141154"
"308","141335"
"309","141890"
"310","141984"
"311","144087"
"312","144148"
"313","145064"
"314","145188"
"315","145994"
"316","146754"
"317","147586"
"318","148201"
"319","148259"
"320","148825"
"321","149287"
"322","150804"
"323","151199"
"324","151478"
"325","152259"
"326","152263"
"327","153405"
"328","154934"
"329","157673"
"330","158061"
"331","158176"
"332","158290"
"333","158913"
"334","158955"
"335","159749"
"336","159815"
"337","159913"
"338","160609"
"339","160994"
"340","161366"
"341","161394"
"342","161996"
"343","162508"
"344","163809"
"345","163814"
"346","164989"
"347","165080"
"348","165824"
"349","166006"
"350","166172"
"351","166983"
"352","167013"
"353","167017"
"354","167222"
"355","167482"
"356","168546"
"357","168810"
"358","169002"
"359","169152"
"360","169306"
"361","169483"
"362","170420"
"363","170761"
"364","171776"
"365","172700"
"366","172870"
"367","173072"
"368","173151"
"369","173742"
"370","174527"
"371","176135"
"372","176653"
"373","176962"
"374","177421"
"375","177495"
"376","179741"
"377","180507"
"378","180792"
"379","181972"
"380","182069"
"381","182095"
"382","185266"
"383","187488"
"384","187566"
"385","187986"
"386","188146"
"387","188661"
"388","188674"
"389","189732"
"390","189787"
"391","190267"
"392","190542"
"393","190968"
"394","190974"
"395","193333"
"396","193393"
"397","193853"
"398","194154"
"399","195123"
"400","195233"
"401","195240"
"402","195578"
"403","195989"
"404","196010"
"405","197155"
"406","197753"
"407","197942"
"408","199195"
"409","199312"
"410","200645"
"411","200955"
"412","201992"
"413","202273"
"414","203901"
"415","204065"
"416","204833"
"417","204959"
"418","205043"
"419","205485"
"420","205735"
"421","206071"
"422","206316"
"423","208148"
"424","211974"
"425","212109"
"426","212178"
"427","212544"
"428","213272"
"429","213330"
"430","215560"
"431","215784"
"432","215907"
"433","217580"
"434","218358"
"435","219066"
"436","219482"
"437","219793"
"438","219818"
"439","219922"
"440","220351"
"441","220563"
"442","221043"
"443","221097"
"444","221618"
"445","222054"
"446","222304"
"447","223930"
"448","224004"
"449","224006"
"450","224510"
"451","225297"
"452","225306"
"453","225887"
"454","225926"
"455","226021"
"456","227715"
"457","227735"
"458","228496"
"459","228517"
"460","228925"
"461","228979"
"462","229874"
"463","230321"
"464","230854"
"465","230877"
"466","230956"
"467","231414"
"468","232612"
"469","233638"
"470","233662"
"471","234184"
"472","234870"
"473","235651"
"474","235960"
"475","236671"
"476","236788"
"477","237127"
"478","237210"
"479","239055"
"480","239733"
"481","239766"
"482","239826"
"483","239883"
"484","239899"
"485","241140"
"486","241159"
"487","241862"
"488","242532"
"489","242643"
"490","243229"
"491","243708"
"492","245504"
"493","245544"
"494","245574"
"495","245607"
"496","246351"
"497","246916"
"498","246938"
"499","248871"
"500","249414"
"501","249867"
"502","250259"
"503","250311"
"504","250323"
"505","250536"
"506","250537"
"507","250801"
"508","251262"
"509","251277"
"510","252076"
"511","252607"
"512","253332"
"513","253548"
"514","253590"
"515","253623"
"516","254131"
"517","254409"
"518","255024"
"519","255476"
"520","255601"
"521","255957"
"522","256078"
"523","256328"
"524","256369"
"525","257097"
"526","257568"
"527","257787"
