id,subway_proximity
2539,700
2595,else
3647,500
3831,500
5022,300
5099,600
5121,600
5178,400
5203,300
5238,100
5295,200
5441,400
5803,400
6021,400
6090,400
6848,300
7097,800
7322,300
7726,800
7750,500
7801,200
8024,300
8025,400
8110,500
8490,600
8505,800
8700,400
9357,600
9518,else
9657,600
9668,300
9704,400
9782,else
9783,200
10452,400
10962,300
11452,else
11708,700
11943,300
12048,200
12192,900
12299,500
12303,else
12318,400
12343,600
12627,500
12937,200
12940,100
13050,800
13394,700
13808,300
14287,200
14290,400
14314,600
14322,700
14377,200
14991,300
15220,500
15338,else
15341,100
15385,700
15396,300
15711,700
16326,700
16338,400
16421,500
16458,600
16580,800
16595,1000
16821,600
16974,400
17037,1000
17092,300
17693,200
17747,300
18127,400
18152,1000
18198,500
18590,1000
18728,100
18764,600
19159,500
19169,100
19282,300
19319,500
19601,100
19812,200
20299,600
20300,400
20611,700
20724,400
20734,400
20755,300
20853,300
20913,300
21293,600
21456,300
21644,500
21794,100
22911,800
22918,300
23135,800
23501,500
23686,300
24143,300
24285,500
25235,800
25406,200
25696,300
26012,700
26362,500
26520,300
26559,400
26785,300
26933,900
26954,500
26969,400
27006,400
27385,900
27531,400
27644,200
27659,300
27759,500
27883,500
28321,200
28396,1000
28907,400
29012,700
29013,500
29455,300
29628,400
29683,200
30031,800
30927,200
31130,400
31555,200
31902,else
31994,400
32023,700
32037,300
32100,500
32289,400
32331,200
32363,else
32965,700
32969,500
33009,400
33014,800
33223,700
34760,700
35526,300
36121,500
36133,500
36442,600
36647,500
36703,200
36934,1000
38638,200
38663,400
39267,500
39282,300
39593,300
39704,700
40039,500
40453,400
41348,300
41513,200
42580,300
42729,900
42882,else
43957,400
44096,900
44161,1000
44212,1000
44221,200
44229,700
44288,400
44506,400
45393,300
45542,100
45556,300
45910,500
45936,600
45940,300
46544,500
46723,300
46911,300
47199,600
47362,400
47370,200
47926,1000
48719,100
50447,200
51438,700
51485,else
51572,400
51850,else
53137,800
53196,300
53469,else
53470,700
53477,else
54158,400
54453,500
54466,400
54508,400
54544,500
54626,700
54860,200
55467,600
55498,800
55668,400
55737,100
55959,400
55982,100
56467,600
56525,600
56859,600
57166,900
57297,600
57468,500
57618,500
57740,100
57754,300
57874,400
58059,400
58062,600
