fid,id
"1","2539"
"2","3647"
"3","3831"
"4","5022"
"5","5099"
"6","5121"
"7","5178"
"8","5203"
"9","5238"
"10","5295"
"11","5441"
"12","5803"
"13","6021"
"14","6090"
"15","6848"
"16","7097"
"17","7322"
"18","7726"
"19","7750"
"20","7801"
"21","8024"
"22","8025"
"23","8110"
"24","8490"
"25","8505"
"26","8700"
"27","9357"
"28","9657"
"29","9668"
"30","9704"
"31","9783"
"32","10452"
"33","10962"
"34","11708"
"35","11943"
"36","12048"
"37","12192"
"38","12299"
"39","12318"
"40","12343"
"41","12627"
"42","12937"
"43","12940"
"44","13050"
"45","13394"
"46","13808"
"47","14287"
"48","14290"
"49","14314"
"50","14322"
"51","14377"
"52","14991"
"53","15220"
"54","15341"
"55","15385"
"56","15396"
"57","15711"
"58","16326"
"59","16338"
"60","16421"
"61","16458"
"62","16580"
"63","16821"
"64","16974"
"65","17092"
"66","17693"
"67","17747"
"68","18127"
"69","18198"
"70","18728"
"71","18764"
"72","19159"
"73","19169"
"74","19282"
"75","19319"
"76","19601"
"77","19812"
"78","20299"
"79","20300"
"80","20611"
"81","20724"
"82","20734"
"83","20755"
"84","20853"
"85","20913"
"86","21293"
"87","21456"
"88","21644"
"89","21794"
"90","22911"
"91","22918"
"92","23135"
"93","23501"
"94","23686"
"95","24143"
"96","24285"
"97","25235"
"98","25406"
"99","25696"
"100","26012"
"101","26362"
"102","26520"
"103","26559"
"104","26785"
"105","26933"
"106","26954"
"107","26969"
"108","27006"
"109","27385"
"110","27531"
"111","27644"
"112","27659"
"113","27759"
"114","27883"
"115","28321"
"116","28907"
"117","29012"
"118","29013"
"119","29455"
"120","29628"
"121","29683"
"122","30031"
"123","30927"
"124","31130"
"125","31555"
"126","31994"
"127","32023"
"128","32037"
"129","32100"
"130","32289"
"131","32331"
"132","32965"
"133","32969"
"134","33009"
"135","33014"
"136","33223"
"137","34760"
"138","35526"
"139","36121"
"140","36133"
"141","36442"
"142","36647"
"143","36703"
"144","38638"
"145","38663"
"146","39267"
"147","39282"
"148","39593"
"149","39704"
"150","40039"
"151","40453"
"152","41348"
"153","41513"
"154","42580"
"155","42729"
"156","43957"
"157","44096"
"158","44221"
"159","44229"
"160","44288"
"161","44506"
"162","45393"
"163","45542"
"164","45556"
"165","45910"
"166","45936"
"167","45940"
"168","46544"
"169","46723"
"170","46911"
"171","47199"
"172","47362"
"173","47370"
"174","48719"
"175","50447"
"176","51438"
"177","51572"
"178","53137"
"179","53196"
"180","53470"
"181","54158"
"182","54453"
"183","54466"
"184","54508"
"185","54544"
"186","54626"
